,name,latitude,longitude
0,Vatican City,41.903282179960115,12.453386544971766
1,San Marino,43.936095834768004,12.441770157800141
2,Vaduz,47.13372377429357,9.516669472907267
3,Luxembourg,49.611660379121076,6.130002806227083
4,Palikir,6.916643696007725,158.1499743237623
5,Majuro,7.103004311216239,171.38000017574655
6,Funafuti,-8.516651999041073,179.21664709402887
7,Melekeok,7.487396172977981,134.62654846699218
8,Monaco,43.73964568785249,7.406913173465057
9,Tarawa,1.338187505624603,173.01757082854942
10,Moroni,-11.70415769566847,43.240244098693324
11,Andorra,42.5000014435459,1.5164859605055199
12,Port-of-Spain,10.651997089577264,-61.51703088544974
13,Kigali,-1.9516442100632503,30.058585919064114
14,Mbabane,-26.316650778409212,31.133334512056365
15,Juba,4.829975198277964,31.580025592787308
16,Ljubljana,46.0552883087945,14.51496903347413
17,Bratislava,48.15001832996171,17.11698075223461
18,Doha,25.286556008906587,51.532967894299304
19,Podgorica,42.465972512881706,19.266306924118226
20,Bern,46.91668275866772,7.466975462482424
21,Pristina,42.666709614119384,21.165984251599866
22,Roseau,15.301015644283325,-61.387012981803366
23,Djibouti,11.595014464255485,43.148001667052256
24,Banjul,13.45387646031594,-16.591701489212596
25,Skopje,42.00000612290586,21.4334614651425
26,Bridgetown,13.10200258275114,-59.61652673505159
27,Bujumbura,-3.376087220374643,29.360006061528395
28,Kingstown,13.14827882786841,-61.212062420279324
29,Castries,14.00197348933034,-61.00000818036955
30,Basseterre,17.302030455489387,-62.71700931969934
31,Port Louis,-20.166638571353246,57.49999385460973
32,Saint George's,12.052633401720414,-61.74164322607476
33,Manama,26.236136290485945,50.58305171591019
34,Saint John's,17.118036518314113,-61.85003381513866
35,Montevideo,-34.856095707590725,-56.17299814703597
36,Lome,6.133882930268385,1.22081126074562
37,Tunis,36.80277813623144,10.179678099212026
38,Abu Dhabi,24.466683572379907,54.36659338259199
39,Ashgabat,37.949994933110986,58.38329911177465
40,Lusaka,-15.414698409335926,28.28138173611427
41,Harare,-17.815843835777798,31.042763572062825
42,Dili,-8.559388408546454,125.57945593170507
43,Port Vila,-17.733350404025828,168.31664058356864
44,Tegucigalpa,14.103990759076396,-87.2194751979415
45,Georgetown,6.8019736927520285,-58.167028647480606
46,Reykjavík,64.15002361973922,-21.950014487179544
47,Port-au-Prince,18.54297045473237,-72.33798044690553
48,Kampala,0.318604813383331,32.581377667121046
49,Paramaribo,5.835030129922586,-55.16703088542437
50,Niamey,13.51865181050647,2.114710186530374
51,Dushanbe,38.56003521631658,68.77387935270173
52,Asuncion,-25.294457117057675,-57.643451027901335
53,Managua,12.154962438756115,-86.27043751890119
54,Freetown,8.471957271098177,-13.236161599012746
55,Islamabad,33.70194180895959,73.16468862105955
56,Kathmandu,27.718637772477223,85.31469635222788
57,Bloemfontein,-29.119993877378704,26.22991288117737
58,Pretoria,-25.704974695184433,28.22748321723384
59,Port Moresby,-9.464707825867777,147.19250362059358
60,Honiara,-9.437994295089595,159.94976573360566
61,Panama City,8.969963049094872,-79.53498301041077
62,Rabat,34.02530731107282,-6.83640815612614
63,Chisinau,47.005023619670624,28.85771113965143
64,Maputo,-25.953331628778983,32.58721710397009
65,Mogadishu,2.068627192947531,45.36473175245874
66,Muscat,23.613324807728134,58.593312132608844
67,Colombo,6.931965758182116,79.85775060925641
68,Ulaanbaatar,47.91861925856074,106.91466990374653
69,Wellington,-41.29997393927641,174.78327429127694
70,Windhoek,-22.570006084383806,17.08354610054181
71,Abuja,9.085279007754195,7.53138214293233
72,Bissau,11.865023822980561,-15.598360841320755
73,Amman,31.951971105827454,35.93135406687412
74,Vilnius,54.68336631175862,25.3166352932829
75,Riga,56.95002382316096,24.099965371403187
76,Bishkek,42.875025305090105,74.58325836390367
77,Maseru,-29.316674378681626,27.483273069984477
78,Antananarivo,-18.914691492032148,47.51467804152986
79,Quito,-0.2130423220355624,-78.5019969671124
80,San Jose,9.936958288356607,-84.08599721127536
81,San Salvador,13.711947505494038,-89.2049870794599
82,Kingston,17.977076623830897,-76.7674337136691
83,Ndjamena,12.115042394810644,15.047202455462298
84,Malabo,3.750015278026183,8.783277545821136
85,Asmara,15.333339252681924,38.933323525759306
86,Zagreb,45.80000673327254,15.999994668245677
87,Tallinn,59.43387737948592,24.72804072947855
88,Lilongwe,-13.983295065469179,33.78330195998353
89,Guatemala,14.623080521448173,-90.52891143656154
90,Libreville,0.3853886097185182,9.457965045823698
91,Suva,-18.133015931371233,178.44170731537986
92,Nouakchott,18.086427021247516,-15.975340414890013
93,Bamako,12.65196052632325,-8.001984963249697
94,Beirut,33.8739209756269,35.507762351377664
95,Tbilisi,41.72695584707759,44.788849590997984
96,Astana,51.18112530425759,71.427774209483
97,Vientiane,17.96669272762739,102.59998002015476
98,Brazzaville,-4.257239913197509,15.282743633848668
99,Conakry,9.53346870502179,-13.682180886123945
100,Yamoussoukro,6.8183809600046175,-5.275502564912301
101,Ottawa,45.41864265536043,-75.70196115980951
102,Belgrade,44.82059130444674,20.466044822020535
103,Bandar Seri Begawan,4.883331114619239,114.93328405666227
104,Sucre,-19.04097084673947,-65.25951562667564
105,Belmopan,17.252033507246892,-88.76707299981655
106,Bangui,4.366644306349087,18.558288125287277
107,Yaounde,3.868646520754112,11.514704896854425
108,Tirana,41.327540709491586,19.81888301461521
109,Yerevan,40.18309659414189,44.51160553175208
110,Baku,40.39721789134302,49.860271303257775
111,Phnom Penh,11.55197598855841,104.91468862118643
112,La Paz,-16.49602775504337,-68.15193104910219
113,Cotonou,6.401954422782467,2.518044740568598
114,Sofia,42.68529528393054,23.314708152110086
115,Minsk,53.901923295043105,27.56468129665825
116,Thimphu,27.472985859175765,89.63901403703
117,Gaborone,-24.646313457438907,25.91194779328538
118,Canberra,-35.283028545372076,149.1290262442992
119,Ouagadougou,12.372261836543373,-1.5266696149164432
120,Sarajevo,43.850022398954934,18.383001666953305
121,Naypyidaw,19.76850288475015,96.11667267063035
122,Nukualofa,-21.13851235669864,-175.22056447761656
123,Hargeysa,9.56002239881775,44.06531001666542
124,Victoria,-4.6166316539734,55.44998978559113
125,Sao Tome,0.3334021188329075,6.733325153234773
126,Apia,-13.841545042448445,-171.73864160860316
127,Valletta,35.89973248193087,14.514710651312782
128,Male,4.1667081898118,73.499947467955
129,Jerusalem,31.778407815573303,35.20662593459866
130,Praia,14.916698017328656,-23.51668888497221
131,Nassau,25.08339011535122,-77.35004378427612
132,Nicosia,35.166676451654496,33.36663488641415
133,Hanoi,21.035273107737055,105.8480683412422
134,Ankara,39.929184444075474,32.862445782356644
135,Budapest,47.50195218499135,19.081374818759684
136,Sanaa,15.356679154263645,44.20464752393843
137,Bucharest,44.43531766349457,26.0980007953504
138,Damascus,33.50197985420613,36.29805003041707
139,Lisbon,38.72466873648784,-9.14681216410213
140,Khartoum,15.590024084277673,32.532233380011576
141,Oslo,59.91863614500187,10.748033347372314
142,Warsaw,52.25194648839556,20.998053692465305
143,Pyongyang,39.02138455800434,125.75274485499392
144,Dar es Salaam,-6.798066736124383,39.26639597769457
145,Dublin,53.335006994584944,-6.250851540391068
146,Monrovia,6.314581647160139,-10.799660436775923
147,Kuala Lumpur,3.168611730712371,101.69803741674644
148,Havana,23.1339046995422,-82.3661280299533
149,Prague,50.08528287347832,14.464033917048539
150,Kuwait,29.371663488629565,47.97635528762527
151,Santo Domingo,18.472018713195382,-69.90203094331503
152,Accra,5.551980464445933,-0.21866159896069348
153,Tripoli,32.89250001935369,13.180011758078194
154,Helsinki,60.17750923256807,24.93218048284558
155,København,55.68051004902594,12.561539888703294
156,Abidjan,5.321942826098564,-4.041994118507091
157,Brasilia,-15.781394372878992,-47.91799814700306
158,Brussels,50.83526293533032,4.33137074969045
159,Dhaka,23.725005570312817,90.40663360810754
160,Luanda,-8.836340255012658,13.23248118266855
161,Algiers,36.765010656628135,3.048606670909237
162,Rangoon,16.785299963188777,96.16473175266185
163,Caracas,10.502944413033333,-66.91898305105042
164,Kiev,50.43531318760722,30.514682110472165
165,Tashkent,41.31364774160721,69.29298696088779
166,Madrid,40.40197212311381,-3.6852975446125242
167,Stockholm,59.35270581286585,18.095388874180912
168,Bangkok,13.751945064087977,100.51469879369489
169,Lima,-12.04606681752557,-77.05200795343472
170,Dakar,14.717777583623274,-17.47507598705056
171,Johannesburg,-26.16809888138414,28.028063865019476
172,Amsterdam,52.35191454666443,4.914694317400972
173,Seoul,37.56829495838895,126.99778513820195
174,Manila,14.606104813440538,120.9802713035424
175,Berlin,52.523764522251156,13.399602764700546
176,Kinshasa,-4.327778243275986,15.313026023171744
177,New Delhi,28.600023009245433,77.19998002005303
178,Athens,37.98527209055226,23.731375225679358
179,Baghdad,33.34059435615865,44.391922914564134
180,Addis Ababa,9.035256221295754,38.69805857534868
181,Tehran,35.673888627001304,51.42239817500899
182,Buenos Aires,-34.600555749907414,-58.399477232331435
183,Kabul,34.51863614490031,69.18131419070505
184,Vienna,48.20196113681686,16.364693096743736
185,Taipei,25.0358333333333,121.568333333333
186,"Washington, D.C.",38.901495235087054,-77.01136443943716
187,London,51.5019405883275,-0.11866770247593195
188,Riyadh,24.642779007816443,46.770795798688255
189,Cape Town,-33.91806510862875,18.43304229922603
190,Moscow,55.75410998124818,37.6135769672714
191,Mexico City,19.444388301415472,-99.1329340602939
192,Rome,41.89790148509894,12.481312562873995
193,Beijing,39.93083808990906,116.38633982565943
194,Nairobi,-1.2814008832377795,36.81471100047145
195,Jakarta,-6.172471846798885,106.82749176247012
196,Bogota,4.598369421147822,-74.08528981377441
197,Cairo,30.051906205103705,31.248022361126118
198,Tokyo,35.686962764371174,139.74946157054467
199,Paris,48.86863878981461,2.33138946713035
200,Santiago,-33.448067956934096,-70.66898671317483
201,Singapore,1.2949793251059418,103.85387481909902
